,Make,Model,Year,0
0,AM,General,1997,68988
1,AM,General,1997,65999
2,AM,General,2000,69995
3,AM,General,2000,59995
4,AM,General,2000,54995
5,Acura,CLAutomatic,1997,3990
6,Acura,CLType-S,2001,3995
7,Acura,CLType-S,2001,2995
8,Acura,CLType-S,2003,4999
9,Acura,CLType-S,2003,4995
10,Acura,CLType-S,2003,3495
11,Acura,ILX5-Speed,2013,16988
12,Acura,ILX5-Speed,2013,15999
13,Acura,ILX5-Speed,2013,15997
14,Acura,ILX5-Speed,2014,19895
15,Acura,ILX5-Speed,2014,18496
16,Acura,ILX5-Speed,2014,18487
17,Acura,ILX5-Speed,2015,23887
18,Acura,ILX5-Speed,2015,22997
19,Acura,ILX5-Speed,2015,22995
20,Acura,ILX6-Speed,2013,13490
21,Acura,ILX6-Speed,2014,18425
22,Acura,ILX6-Speed,2015,19991
23,Acura,ILX6-Speed,2015,17994
24,Acura,ILX6-Speed,2015,16994
25,Acura,ILXAcuraWatch,2017,22988
26,Acura,ILXAcuraWatch,2017,22988
27,Acura,ILXAcuraWatch,2017,21950
28,Acura,ILXAutomatic,2016,27995
29,Acura,ILXAutomatic,2016,25322
30,Acura,ILXAutomatic,2016,23322
31,Acura,ILXAutomatic,2017,26990
32,Acura,ILXAutomatic,2017,24991
33,Acura,ILXAutomatic,2017,24990
34,Acura,ILXHybrid,2013,15995
35,Acura,ILXPremium,2017,25991
36,Acura,ILXPremium,2017,25500
37,Acura,ILXPremium,2017,23990
38,Acura,ILXTechnology,2017,30590
39,Acura,ILXTechnology,2017,27988
40,Acura,ILXTechnology,2017,26500
41,Acura,IntegraLS,2001,3755
42,Acura,IntegraRS,1998,3997
43,Acura,MDX4WD,2001,5700
44,Acura,MDX4WD,2002,4999
45,Acura,MDX4WD,2002,4895
46,Acura,MDX4WD,2003,4000
47,Acura,MDX4WD,2004,9993
48,Acura,MDX4WD,2004,8795
49,Acura,MDX4WD,2004,7995
50,Acura,MDX4WD,2005,10998
51,Acura,MDX4WD,2005,10700
52,Acura,MDX4WD,2005,9991
53,Acura,MDX4WD,2006,9495
54,Acura,MDX4WD,2006,8999
55,Acura,MDX4WD,2006,8944
56,Acura,MDX4WD,2007,17595
57,Acura,MDX4WD,2007,15900
58,Acura,MDX4WD,2007,15888
59,Acura,MDX4WD,2008,17999
60,Acura,MDX4WD,2008,17921
61,Acura,MDX4WD,2008,15980
62,Acura,MDXAWD,2009,17992
63,Acura,MDXAWD,2009,17975
64,Acura,MDXAWD,2009,16995
65,Acura,MDXAWD,2010,22451
66,Acura,MDXAWD,2010,21000
67,Acura,MDXAWD,2010,20997
68,Acura,MDXAWD,2011,25999
69,Acura,MDXAWD,2011,22844
70,Acura,MDXAWD,2011,22379
71,Acura,MDXAWD,2012,24980
72,Acura,MDXAWD,2012,24360
73,Acura,MDXAWD,2012,23500
74,Acura,MDXAWD,2014,36952
75,Acura,MDXAWD,2014,31988
76,Acura,MDXAWD,2014,31866
77,Acura,MDXAWD,2015,41803
78,Acura,MDXAWD,2015,38988
79,Acura,MDXAWD,2015,38986
80,Acura,MDXBase,2013,23000
81,Acura,MDXBase,2013,22998
82,Acura,MDXBase,2013,21440
83,Acura,MDXFWD,2014,37500
84,Acura,MDXFWD,2014,36999
85,Acura,MDXFWD,2014,35977
86,Acura,MDXFWD,2015,39488
87,Acura,MDXFWD,2015,38995
88,Acura,MDXFWD,2015,38988
89,Acura,MDXFWD,2016,43980
90,Acura,MDXFWD,2016,41695
91,Acura,MDXFWD,2016,39998
92,Acura,MDXFWD,2017,51993
93,Acura,MDXFWD,2017,47995
94,Acura,MDXFWD,2017,47995
95,Acura,MDXSH-AWD,2016,46888
96,Acura,MDXSH-AWD,2016,45999
97,Acura,MDXSH-AWD,2016,43991
98,Acura,MDXSH-AWD,2017,49988
99,Acura,MDXSH-AWD,2017,49900
100,Acura,MDXSH-AWD,2017,48000
101,Acura,MDXwith,2013,28996
102,Acura,MDXwith,2013,28988
103,Acura,MDXwith,2013,26500
104,Acura,NSXCoupe,2017,179000
105,Acura,NSXCoupe,2017,165888
106,Acura,NSXCoupe,2017,162500
107,Acura,RDX4WD,2007,13999
108,Acura,RDX4WD,2007,13095
109,Acura,RDX4WD,2007,12995
110,Acura,RDX4WD,2008,13695
111,Acura,RDX4WD,2008,12980
112,Acura,RDX4WD,2008,12000
113,Acura,RDXAWD,2009,9997
114,Acura,RDXAWD,2010,15988
115,Acura,RDXAWD,2010,14472
116,Acura,RDXAWD,2010,11499
117,Acura,RDXAWD,2011,17980
118,Acura,RDXAWD,2011,15595
119,Acura,RDXAWD,2012,17988
120,Acura,RDXAWD,2012,15595
121,Acura,RDXAWD,2013,23388
122,Acura,RDXAWD,2013,22995
123,Acura,RDXAWD,2014,24599
124,Acura,RDXAWD,2014,24274
125,Acura,RDXAWD,2014,23500
126,Acura,RDXAWD,2015,30488
127,Acura,RDXAWD,2015,29000
128,Acura,RDXAWD,2015,28980
129,Acura,RDXAWD,2016,34580
130,Acura,RDXAWD,2016,26999
131,Acura,RDXAWD,2016,25999
132,Acura,RDXAWD,2017,35980
133,Acura,RDXAWD,2017,35848
134,Acura,RDXAWD,2017,35847
135,Acura,RDXBase,2013,23990
136,Acura,RDXBase,2013,22991
137,Acura,RDXBase,2013,19900
138,Acura,RDXFWD,2010,13900
139,Acura,RDXFWD,2010,12985
140,Acura,RDXFWD,2010,9999
141,Acura,RDXFWD,2011,19888
142,Acura,RDXFWD,2011,16967
143,Acura,RDXFWD,2011,15771
144,Acura,RDXFWD,2012,18990
145,Acura,RDXFWD,2012,17988
146,Acura,RDXFWD,2012,16995
147,Acura,RDXFWD,2014,27500
148,Acura,RDXFWD,2014,26900
149,Acura,RDXFWD,2014,26577
150,Acura,RDXFWD,2015,29990
151,Acura,RDXFWD,2015,28900
152,Acura,RDXFWD,2015,28200
153,Acura,RDXFWD,2016,37441
154,Acura,RDXFWD,2016,34500
155,Acura,RDXFWD,2016,33995
156,Acura,RDXFWD,2017,40995
157,Acura,RDXFWD,2017,40990
158,Acura,RDXFWD,2017,38995
159,Acura,RDXwith,2013,24941
160,Acura,RDXwith,2013,23879
161,Acura,RDXwith,2013,23032
162,Acura,RL4dr,2007,10999
163,Acura,RL4dr,2007,10995
164,Acura,RL4dr,2007,7195
165,Acura,RL4dr,2008,14955
166,Acura,RL4dr,2008,13888
167,Acura,RL4dr,2009,15990
168,Acura,RL4dr,2009,14895
169,Acura,RL4dr,2009,13695
170,Acura,RL4dr,2010,16698
171,Acura,RL4dr,2011,20773
172,Acura,RLAutomatic,2001,3222
173,Acura,RLAutomatic,2002,2995
174,Acura,RLAutomatic,2002,2900
175,Acura,RLAutomatic,2002,1991
176,Acura,RLAutomatic,2003,5988
177,Acura,RLAutomatic,2003,4900
178,Acura,RLAutomatic,2004,3995
179,Acura,RLAutomatic,2005,9495
180,Acura,RLAutomatic,2005,8700
181,Acura,RLAutomatic,2005,7999
182,Acura,RLAutomatic,2006,10995
183,Acura,RLAutomatic,2006,10723
184,Acura,RLAutomatic,2006,7695
185,Acura,RLAutomatic,2012,11995
186,Acura,RLXAutomatic,2015,33998
187,Acura,RLXAutomatic,2015,31991
188,Acura,RLXAutomatic,2015,28900
189,Acura,RLXBase,2014,25994
190,Acura,RLXBase,2014,24999
191,Acura,RLXBase,2014,24997
192,Acura,RLXwith,2014,29988
193,Acura,RLXwith,2014,26991
194,Acura,RLXwith,2014,21995
195,Acura,RLXwith,2016,38498
196,Acura,RLXwith,2016,35594
197,Acura,RLXwith,2016,28500
198,Acura,RSXAutomatic,2002,7995
199,Acura,RSXAutomatic,2002,5999
200,Acura,RSXAutomatic,2002,5970
201,Acura,RSXAutomatic,2003,3575
202,Acura,RSXAutomatic,2004,8250
203,Acura,RSXAutomatic,2004,7900
204,Acura,RSXAutomatic,2004,5999
205,Acura,RSXAutomatic,2005,7995
206,Acura,RSXAutomatic,2005,7850
207,Acura,RSXAutomatic,2005,7680
208,Acura,RSXAutomatic,2006,8400
209,Acura,RSXAutomatic,2006,7988
210,Acura,RSXAutomatic,2006,3995
211,Acura,RSXManual,2002,6995
212,Acura,RSXManual,2002,6844
213,Acura,RSXManual,2004,7850
214,Acura,RSXManual,2006,7995
215,Acura,RSXType-S,2002,6500
216,Acura,RSXType-S,2002,5933
217,Acura,RSXType-S,2003,4400
218,Acura,RSXType-S,2004,8995
219,Acura,RSXType-S,2004,6000
220,Acura,RSXType-S,2004,2350
221,Acura,RSXType-S,2005,7926
222,Acura,RSXType-S,2005,7499
223,Acura,RSXType-S,2006,15999
224,Acura,RSXType-S,2006,14000
225,Acura,RSXType-S,2006,11900
226,Acura,TL2WD,2012,20999
227,Acura,TL2WD,2012,18991
228,Acura,TL2WD,2012,18491
229,Acura,TL2WD,2014,23991
230,Acura,TL2WD,2014,22000
231,Acura,TL2WD,2014,21988
232,Acura,TL4dr,2007,14995
233,Acura,TL4dr,2007,13999
234,Acura,TL4dr,2007,12995
235,Acura,TL4dr,2008,15999
236,Acura,TL4dr,2008,15499
237,Acura,TL4dr,2008,14995
238,Acura,TL4dr,2009,15000
239,Acura,TL4dr,2009,14999
240,Acura,TL4dr,2009,14988
241,Acura,TL4dr,2010,19500
242,Acura,TL4dr,2010,18411
243,Acura,TL4dr,2010,16998
244,Acura,TL4dr,2011,15998
245,Acura,TL4dr,2011,14700
246,Acura,TL4dr,2011,13870
247,Acura,TLAutomatic,1999,3988
248,Acura,TLAutomatic,2000,4988
249,Acura,TLAutomatic,2001,4295
250,Acura,TLAutomatic,2002,3999
251,Acura,TLAutomatic,2004,9999
252,Acura,TLAutomatic,2004,7995
253,Acura,TLAutomatic,2004,6995
254,Acura,TLAutomatic,2005,8999
255,Acura,TLAutomatic,2005,8980
256,Acura,TLAutomatic,2005,8545
257,Acura,TLAutomatic,2006,11995
258,Acura,TLAutomatic,2006,11000
259,Acura,TLAutomatic,2006,10888
260,Acura,TLBase,2013,16995
261,Acura,TLBase,2013,16988
262,Acura,TLBase,2013,16950
263,Acura,TLManual,2005,8988
264,Acura,TLManual,2006,6500
265,Acura,TLSH-AWD,2012,19991
266,Acura,TLSH-AWD,2012,18492
267,Acura,TLSH-AWD,2012,18206
268,Acura,TLSH-AWD,2013,20496
269,Acura,TLSH-AWD,2013,19999
270,Acura,TLSH-AWD,2014,25990
271,Acura,TLSH-AWD,2014,23499
272,Acura,TLSH-AWD,2014,22982
273,Acura,TLSpecial,2013,17975
274,Acura,TLSpecial,2013,14999
275,Acura,TLSpecial,2014,18999
276,Acura,TLSpecial,2014,17890
277,Acura,TLSpecial,2014,15995
278,Acura,TLType-S,2002,8744
279,Acura,TLType-S,2003,4883
280,Acura,TLType-S,2003,4295
281,Acura,TLType-S,2003,3999
282,Acura,TLXFWD,2015,33993
283,Acura,TLXFWD,2015,31995
284,Acura,TLXFWD,2015,30495
285,Acura,TLXFWD,2016,32233
286,Acura,TLXFWD,2016,31198
287,Acura,TLXFWD,2016,30701
288,Acura,TLXFWD,2017,37988
289,Acura,TLXFWD,2017,33990
290,Acura,TLXFWD,2017,33000
291,Acura,TLXFWD,2018,38895
292,Acura,TLXFWD,2018,37493
293,Acura,TLXFWD,2018,32995
294,Acura,TLXSH-AWD,2015,32995
295,Acura,TLXSH-AWD,2015,31995
296,Acura,TLXSH-AWD,2015,30000
297,Acura,TLXSH-AWD,2016,33576
298,Acura,TLXSH-AWD,2016,32000
299,Acura,TLXSH-AWD,2016,30000
300,Acura,TLXSH-AWD,2018,41995
301,Acura,TLXSH-AWD,2018,41499
302,Acura,TLXSH-AWD,2018,41499
303,Acura,TLwith,2013,19597
304,Acura,TLwith,2013,18988
305,Acura,TLwith,2013,17999
306,Acura,TSX,2011,17950
307,Acura,TSX,2011,12990
308,Acura,TSX,2012,17995
309,Acura,TSX,2012,17500
310,Acura,TSX,2012,16890
311,Acura,TSX,2013,23040
312,Acura,TSX,2013,22830
313,Acura,TSX,2014,26233
314,Acura,TSX,2014,20452
315,Acura,TSX,2014,18999
316,Acura,TSX4dr,2007,12695
317,Acura,TSX4dr,2007,11990
318,Acura,TSX4dr,2007,10888
319,Acura,TSX4dr,2008,13195
320,Acura,TSX4dr,2008,12895
321,Acura,TSX4dr,2008,12695
322,Acura,TSX4dr,2009,14495
323,Acura,TSX4dr,2009,14476
324,Acura,TSX4dr,2009,13987
325,Acura,TSX4dr,2010,16999
326,Acura,TSX4dr,2010,16995
327,Acura,TSX4dr,2010,16991
328,Acura,TSX4dr,2011,16500
329,Acura,TSX4dr,2011,15997
330,Acura,TSX4dr,2011,15524
331,Acura,TSX5-Speed,2013,20995
332,Acura,TSX5-Speed,2013,18985
